date,time,open,high,low,close,volume
"Wed-03-Apr-24,20:00:00",65792,66318,65504,65972,636076876
"Thu-04-Apr-24,00:00:00",65972,66384,65467,65645,789553223
"Thu-04-Apr-24,04:00:00",65645,66299,65036,66095,1042639085
"Thu-04-Apr-24,08:00:00",66095,66522,66024,66363,744824287
"Thu-04-Apr-24,12:00:00",66363,67909,66337,67620,2029512009
"Thu-04-Apr-24,16:00:00",67620,69316,67494,68481,2744086359
"Thu-04-Apr-24,20:00:00",68481,68576,67263,68480,1985606596
"Fri-05-Apr-24,00:00:00",68480,68776,67414,67876,1160462684
"Fri-05-Apr-24,04:00:00",67876,68037,66305,66933,1707285971
"Fri-05-Apr-24,08:00:00",66933,67696,66374,66490,1805518118
"Fri-05-Apr-24,12:00:00",66490,68591,65943,68214,3137794356
"Fri-05-Apr-24,16:00:00",68214,68412,67309,67390,1314279962
"Fri-05-Apr-24,20:00:00",67390,67956,67323,67814,480759836
"Sat-06-Apr-24,00:00:00",67814,68050,67458,67792,426075384
"Sat-06-Apr-24,04:00:00",67792,68220,67606,67994,456172166
"Sat-06-Apr-24,08:00:00",67994,68135,67605,67664,404360648
"Sat-06-Apr-24,12:00:00",67664,68312,67522,68101,550175547
"Sat-06-Apr-24,16:00:00",68101,68500,67916,68264,475957726
"Sat-06-Apr-24,20:00:00",68264,69700,68165,68895,969143377
"Sun-07-Apr-24,00:00:00",68895,69780,68803,69390,759291300
"Sun-07-Apr-24,04:00:00",69390,69476,69020,69346,434659004
"Sun-07-Apr-24,08:00:00",69346,69561,69190,69347,360945929
"Sun-07-Apr-24,12:00:00",69347,69894,69192,69551,869403135
"Sun-07-Apr-24,16:00:00",69551,70366,68855,69070,1660321953
"Sun-07-Apr-24,20:00:00",69070,69490,68898,69355,604845705
"Mon-08-Apr-24,00:00:00",69355,69860,69050,69447,825948603
"Mon-08-Apr-24,04:00:00",69447,70865,69257,70697,1284698803
"Mon-08-Apr-24,08:00:00",70697,72731,70632,72446,3378325093
"Mon-08-Apr-24,12:00:00",72446,72854,71305,71822,2255824172
"Mon-08-Apr-24,16:00:00",71822,72184,71321,71806,1063396548
"Mon-08-Apr-24,20:00:00",71806,72073,71540,71674,441822450
"Tue-09-Apr-24,00:00:00",71674,71814,70876,71349,1041280197
"Tue-09-Apr-24,04:00:00",71349,71400,70185,70435,1649589794
"Tue-09-Apr-24,08:00:00",70435,70960,69608,70855,1914845490
"Tue-09-Apr-24,12:00:00",70855,71033,68504,69324,3811717111
"Tue-09-Apr-24,16:00:00",69324,69405,68200,69059,1763464177
"Tue-09-Apr-24,20:00:00",69059,69465,68892,69187,633616197
"Wed-10-Apr-24,00:00:00",69187,69648,68506,69188,1128716717
"Wed-10-Apr-24,04:00:00",69188,69560,69039,69372,480372100
"Wed-10-Apr-24,08:00:00",69372,69372,68651,69085,1171554623
"Wed-10-Apr-24,12:00:00",69085,69267,67506,68692,4068830553
"Wed-10-Apr-24,16:00:00",68692,70122,68580,70113,2016452239
"Wed-10-Apr-24,20:00:00",70113,71269,69576,70656,1399454937
"Thu-11-Apr-24,00:00:00",70656,71094,70306,70876,728321828
"Thu-11-Apr-24,04:00:00",70876,71342,70403,70749,984042511
"Thu-11-Apr-24,08:00:00",70749,71284,69901,70003,1355622335
"Thu-11-Apr-24,12:00:00",70003,71101,69580,70039,3324792449
"Thu-11-Apr-24,16:00:00",70039,70560,69601,70494,1183028294
"Thu-11-Apr-24,20:00:00",70494,70800,69743,70038,704094528
"Fri-12-Apr-24,00:00:00",70038,71049,70024,70999,851310929
"Fri-12-Apr-24,04:00:00",70999,71281,70607,70800,764730428
"Fri-12-Apr-24,08:00:00",70800,70999,70535,70914,575674686
"Fri-12-Apr-24,12:00:00",70914,70990,69250,69376,2492699552
"Fri-12-Apr-24,16:00:00",69376,69629,64669,66819,7626991869
"Fri-12-Apr-24,20:00:00",66819,67458,66642,67120,1175746823
"Sat-13-Apr-24,00:00:00",67120,67159,65685,67135,1524160945
"Sat-13-Apr-24,04:00:00",67135,67938,66993,67432,1210645158
"Sat-13-Apr-24,08:00:00",67432,67832,67080,67342,595694378
"Sat-13-Apr-24,12:00:00",67342,67937,67150,67660,791806918
"Sat-13-Apr-24,16:00:00",67660,67752,63259,64708,3069669492
"Sat-13-Apr-24,20:00:00",64708,65597,59766,63905,7407578519
"Sun-14-Apr-24,00:00:00",63905,64274,62089,63406,2405895939
"Sun-14-Apr-24,04:00:00",63406,64870,63360,64440,1376543226
"Sun-14-Apr-24,08:00:00",64440,64870,63843,64156,1158760364
"Sun-14-Apr-24,12:00:00",64156,64842,63408,64167,1769614937
"Sun-14-Apr-24,16:00:00",64167,64747,62514,64144,2410690046
"Sun-14-Apr-24,20:00:00",64144,65824,63268,65619,1873259901
"Mon-15-Apr-24,00:00:00",65619,65845,64904,65105,1024378723
"Mon-15-Apr-24,04:00:00",65105,66532,64625,66205,1607376245
"Mon-15-Apr-24,08:00:00",66205,66835,65784,65838,1419700387
"Mon-15-Apr-24,12:00:00",65838,66350,63756,64530,3155419134
"Mon-15-Apr-24,16:00:00",64530,64862,62222,63269,3268187641
"Mon-15-Apr-24,20:00:00",63269,63600,62600,63414,1160986005
"Tue-16-Apr-24,00:00:00",63414,63899,62710,62936,1229154040
"Tue-16-Apr-24,04:00:00",62936,63787,61631,63482,2004762798
"Tue-16-Apr-24,08:00:00",63482,63634,61512,63071,2266053883
"Tue-16-Apr-24,12:00:00",63071,63434,61701,61739,2757023955
"Tue-16-Apr-24,16:00:00",61739,63278,61658,62682,1875135965
"Tue-16-Apr-24,20:00:00",62682,64358,62514,63772,1086716744
"Wed-17-Apr-24,00:00:00",63772,64285,63538,63815,692245017
"Wed-17-Apr-24,04:00:00",63815,64480,62850,63249,1056840781
"Wed-17-Apr-24,08:00:00",63249,63552,62483,62559,1189398135
"Wed-17-Apr-24,12:00:00",62559,62961,59821,60271,4726021943
"Wed-17-Apr-24,16:00:00",60271,61946,59605,61000,3156753167
"Wed-17-Apr-24,20:00:00",61000,61747,60746,61245,981306755
"Thu-18-Apr-24,00:00:00",61245,62224,60902,61966,1063273724
"Thu-18-Apr-24,04:00:00",61966,62067,60757,61143,1301224857
"Thu-18-Apr-24,08:00:00",61143,63040,60805,62552,1598215468
"Thu-18-Apr-24,12:00:00",62552,64166,61538,63466,3171760798
"Thu-18-Apr-24,16:00:00",63466,63826,62275,63446,1711487642
"Thu-18-Apr-24,20:00:00",63446,63800,63104,63445,738447995
"Fri-19-Apr-24,00:00:00",63445,63446,59522,61768,4301128562
"Fri-19-Apr-24,04:00:00",61768,65200,61752,64523,3440474845
"Fri-19-Apr-24,08:00:00",64523,65432,64122,64842,2166036791
"Fri-19-Apr-24,12:00:00",64842,65421,63789,64414,2079159158
"Fri-19-Apr-24,16:00:00",64414,64857,63434,64308,1905817124
"Fri-19-Apr-24,20:00:00",64308,64489,62888,63775,1269890609
"Sat-20-Apr-24,00:00:00",63775,64238,63038,63927,947186148
"Sat-20-Apr-24,04:00:00",63927,64257,63785,63936,518767596
"Sat-20-Apr-24,08:00:00",63936,63958,63228,63676,1047527684
"Sat-20-Apr-24,12:00:00",63676,64949,63526,64775,923173549
"Sat-20-Apr-24,16:00:00",64775,65407,64410,64839,1366622886
"Sat-20-Apr-24,20:00:00",64839,65007,64520,64900,508078343
"Sun-21-Apr-24,00:00:00",64900,65694,64566,65147,715262653
"Sun-21-Apr-24,04:00:00",65147,65218,64810,65108,476289756
"Sun-21-Apr-24,08:00:00",65108,65436,64696,65202,752583278
"Sun-21-Apr-24,12:00:00",65202,65350,64742,65022,707702688
"Sun-21-Apr-24,16:00:00",65022,65069,64200,64508,1005760810
"Sun-21-Apr-24,20:00:00",64508,65150,64300,64911,766612669
"Mon-22-Apr-24,00:00:00",64911,66089,64463,65691,1527160317
"Mon-22-Apr-24,04:00:00",65691,66455,65489,65936,1020969277
"Mon-22-Apr-24,08:00:00",65936,66180,65656,65848,644788232
"Mon-22-Apr-24,12:00:00",65848,66444,65563,65962,1455965014
"Mon-22-Apr-24,16:00:00",65962,66799,65872,66482,1224715934
"Mon-22-Apr-24,20:00:00",66482,67199,66262,66770,969839128
"Tue-23-Apr-24,00:00:00",66770,67146,66366,66398,613149282
"Tue-23-Apr-24,04:00:00",66398,66620,65936,66065,802619357
"Tue-23-Apr-24,08:00:00",66065,66300,65821,66022,648494083
"Tue-23-Apr-24,12:00:00",66022,67110,65750,66398,1856406220
"Tue-23-Apr-24,16:00:00",66398,66897,66321,66458,675533192
"Tue-23-Apr-24,20:00:00",66458,66467,65930,66398,591875008
"Wed-24-Apr-24,00:00:00",66398,66887,66370,66597,556149449
"Wed-24-Apr-24,04:00:00",66597,67084,66521,66590,646257295
"Wed-24-Apr-24,08:00:00",66590,66722,66169,66559,737084741
"Wed-24-Apr-24,12:00:00",66559,66714,64481,64596,3065509826
"Wed-24-Apr-24,16:00:00",64596,65116,63715,63966,2047306254
"Wed-24-Apr-24,20:00:00",63966,64450,63563,64259,1110577399
"Thu-25-Apr-24,00:00:00",64259,64710,63814,64256,798353819
"Thu-25-Apr-24,04:00:00",64256,64367,63800,63996,659009796
"Thu-25-Apr-24,08:00:00",63996,64166,63286,63815,1413543829
"Thu-25-Apr-24,12:00:00",63815,64299,62745,64103,2717816747
"Thu-25-Apr-24,16:00:00",64103,64950,63940,64739,1583535773
"Thu-25-Apr-24,20:00:00",64739,65272,64412,64465,849246476
"Fri-26-Apr-24,00:00:00",64465,64638,63780,64362,949182763
"Fri-26-Apr-24,04:00:00",64362,64594,63914,64244,722527930
"Fri-26-Apr-24,08:00:00",64244,64545,64023,64216,599782012
"Fri-26-Apr-24,12:00:00",64216,64798,63301,63479,2279283441
"Fri-26-Apr-24,16:00:00",63479,64140,63273,63724,972371077
"Fri-26-Apr-24,20:00:00",63724,64100,63650,63746,376353922
"Sat-27-Apr-24,00:00:00",63746,63900,62370,63069,1679261555
"Sat-27-Apr-24,04:00:00",63069,63176,62746,62951,437698978
"Sat-27-Apr-24,08:00:00",62951,63041,62641,62838,397535678
"Sat-27-Apr-24,12:00:00",62838,63390,62784,62935,634160999
"Sat-27-Apr-24,16:00:00",62935,63623,62712,63330,1173045070
"Sat-27-Apr-24,20:00:00",63330,63536,63119,63413,287011477
"Sun-28-Apr-24,00:00:00",63413,64337,63413,63991,746307019
"Sun-28-Apr-24,04:00:00",63991,64050,63781,63890,343503789
"Sun-28-Apr-24,08:00:00",63890,63962,63310,63463,550476667
"Sun-28-Apr-24,12:00:00",63463,63862,63387,63508,456171999
"Sun-28-Apr-24,16:00:00",63508,63968,63456,63694,344911762
"Sun-28-Apr-24,20:00:00",63694,63736,62674,63093,1025919859
"Mon-29-Apr-24,00:00:00",63093,63343,61832,62250,1244005524
"Mon-29-Apr-24,04:00:00",62250,62598,61856,62364,1226387136
"Mon-29-Apr-24,08:00:00",62364,62670,62128,62240,721863424
"Mon-29-Apr-24,12:00:00",62240,63119,61730,63017,2081429303
"Mon-29-Apr-24,16:00:00",63017,63200,62520,62959,762568775
"Mon-29-Apr-24,20:00:00",62959,64193,62793,63828,1048581276
"Tue-30-Apr-24,00:00:00",63828,64705,63088,63628,1545722876
"Tue-30-Apr-24,04:00:00",63628,63698,63039,63115,747756769
"Tue-30-Apr-24,08:00:00",63115,63209,61002,61194,3049529376
"Tue-30-Apr-24,12:00:00",61194,61555,60501,60760,2641623026
"Tue-30-Apr-24,16:00:00",60760,60879,59132,59276,2864470924
"Tue-30-Apr-24,20:00:00",59276,61049,59254,60656,1577866464
"Wed-01-May-24,00:00:00",60656,60820,59550,60223,1218518817
"Wed-01-May-24,04:00:00",60223,60333,57016,57474,3164902068
"Wed-01-May-24,08:00:00",57474,57892,56505,57870,2805707862
"Wed-01-May-24,12:00:00",57870,58266,56636,56861,2218273849
"Wed-01-May-24,16:00:00",56861,59455,56581,56936,3891453043
"Wed-01-May-24,20:00:00",56936,58540,56724,58298,1491209414
"Thu-02-May-24,00:00:00",58298,58560,56887,57413,1319925903
"Thu-02-May-24,04:00:00",57413,57927,57164,57651,729948644
"Thu-02-May-24,08:00:00",57651,58650,57518,58524,1366327827
"Thu-02-May-24,12:00:00",58524,59429,58194,59225,2397844627
"Thu-02-May-24,16:00:00",59225,59549,58902,59317,899272308
"Thu-02-May-24,20:00:00",59317,59581,58572,59030,962596563
"Fri-03-May-24,00:00:00",59030,59980,58780,59683,953038697
"Fri-03-May-24,04:00:00",59683,59818,58980,59150,662422150
"Fri-03-May-24,08:00:00",59150,59558,58816,59276,859863424
"Fri-03-May-24,12:00:00",59276,62100,58972,61653,3552645407
"Fri-03-May-24,16:00:00",61653,62190,61498,62030,1095141862
"Fri-03-May-24,20:00:00",62030,63344,61940,62844,1924914146
"Sat-04-May-24,00:00:00",62844,63650,62513,62687,953469325
"Sat-04-May-24,04:00:00",62687,63444,62650,62926,773682715
"Sat-04-May-24,08:00:00",62926,64500,62907,63848,1491030648
"Sat-04-May-24,12:00:00",63848,64142,63420,63584,900576304
"Sat-04-May-24,16:00:00",63584,63990,63266,63883,623440821
"Sat-04-May-24,20:00:00",63883,64184,63492,63860,560253933
"Sun-05-May-24,00:00:00",63860,64179,62866,63204,1080064836
"Sun-05-May-24,04:00:00",63204,63936,63068,63706,559607714
"Sun-05-May-24,08:00:00",63706,63917,63524,63839,585521713
"Sun-05-May-24,12:00:00",63839,64630,63592,64400,1157081314
"Sun-05-May-24,16:00:00",64400,64520,63780,63850,603364150
"Sun-05-May-24,20:00:00",63850,64224,63536,63998,540681652
"Mon-06-May-24,00:00:00",63998,64469,63680,63842,557038748
"Mon-06-May-24,04:00:00",63842,64584,63751,64516,678129050
"Mon-06-May-24,08:00:00",64516,65540,63800,64198,2634962790
"Mon-06-May-24,12:00:00",64198,64330,62888,63594,2955162940
"Mon-06-May-24,16:00:00",63594,63705,62669,63206,1611981100
"Mon-06-May-24,20:00:00",63206,63625,63031,63149,619482063
"Tue-07-May-24,00:00:00",63149,64000,62804,63219,1131756308
"Tue-07-May-24,04:00:00",63219,63840,63068,63652,633074633
"Tue-07-May-24,08:00:00",63652,64399,63309,63474,1373164774
"Tue-07-May-24,12:00:00",63474,64305,63020,63720,1579042452
"Tue-07-May-24,16:00:00",63720,63883,62780,63041,982945399
"Tue-07-May-24,20:00:00",63041,63200,62230,62314,1012187023
"Wed-08-May-24,00:00:00",62314,62987,62076,62891,866974105
"Wed-08-May-24,04:00:00",62891,63024,62037,62188,948145419
"Wed-08-May-24,08:00:00",62188,62499,62001,62219,781640941
"Wed-08-May-24,12:00:00",62219,62821,61742,62268,1702809543
"Wed-08-May-24,16:00:00",62268,62767,61908,62154,763032186
"Wed-08-May-24,20:00:00",62154,62222,60850,61164,1501144398
"Thu-09-May-24,00:00:00",61164,61788,61111,61644,601241640
"Thu-09-May-24,04:00:00",61644,61760,61100,61234,511892186
"Thu-09-May-24,08:00:00",61234,61422,60544,61034,1280219438
"Thu-09-May-24,12:00:00",61034,62259,60855,62124,1737453788
"Thu-09-May-24,16:00:00",62124,62653,61713,62426,1302056614
"Thu-09-May-24,20:00:00",62426,63406,62306,63036,1222675026
"Fri-10-May-24,00:00:00",63036,63062,62623,62877,445412535
"Fri-10-May-24,04:00:00",62877,63363,62628,63042,721827795
"Fri-10-May-24,08:00:00",63042,63309,62768,63276,521672316
"Fri-10-May-24,12:00:00",63276,63448,60616,60899,3482080657
"Fri-10-May-24,16:00:00",60899,61279,60111,60686,2195287365
"Fri-10-May-24,20:00:00",60686,60986,60441,60789,556126401
"Sat-11-May-24,00:00:00",60789,61095,60650,60720,427468317
"Sat-11-May-24,04:00:00",60720,61068,60700,60993,265649727
"Sat-11-May-24,08:00:00",60993,61044,60461,60658,437442131
"Sat-11-May-24,12:00:00",60658,61500,60605,61162,792678240
"Sat-11-May-24,16:00:00",61162,61400,61000,61127,369235029
"Sat-11-May-24,20:00:00",61127,61135,60721,60810,304168269
"Sun-12-May-24,00:00:00",60810,61081,60780,60906,193801374
"Sun-12-May-24,04:00:00",60906,61095,60567,60789,292044387
"Sun-12-May-24,08:00:00",60789,61356,60750,61118,494031874
"Sun-12-May-24,12:00:00",61118,61554,61052,61397,392743989
"Sun-12-May-24,16:00:00",61397,61854,61123,61380,744561436
"Sun-12-May-24,20:00:00",61380,61527,60805,61450,448380830
"Mon-13-May-24,00:00:00",61450,61779,60708,61129,971033221
"Mon-13-May-24,04:00:00",61129,62423,60770,62311,1083815988
"Mon-13-May-24,08:00:00",62311,63267,62311,62696,1921359300
"Mon-13-May-24,12:00:00",62696,63197,62401,62977,1113167199
"Mon-13-May-24,16:00:00",62977,63437,62530,63142,1118345401
"Mon-13-May-24,20:00:00",63142,63177,62675,62909,344439843
"Tue-14-May-24,00:00:00",62909,63096,62386,62458,780701141
"Tue-14-May-24,04:00:00",62458,62753,61368,62002,1349155714
"Tue-14-May-24,08:00:00",62002,62014,61489,61780,657345426
"Tue-14-May-24,12:00:00",61780,62288,61000,61749,2540702531
"Tue-14-May-24,16:00:00",61749,61787,61124,61564,825646064
"Tue-14-May-24,20:00:00",61564,61774,61439,61546,318101206
"Wed-15-May-24,00:00:00",61546,62000,61310,61928,425159386
"Wed-15-May-24,04:00:00",61928,62245,61790,62158,449039698
"Wed-15-May-24,08:00:00",62158,62977,61880,62445,1261123375
"Wed-15-May-24,12:00:00",62445,65048,62381,64674,3850294026
"Wed-15-May-24,16:00:00",64674,66387,64674,65951,2158040755
"Wed-15-May-24,20:00:00",65951,66430,65690,66185,939471761
