date,time,open,high,low,close,volume
"Sun-01-Mar-20,00:00:00",6500,6838,5842,6405,339547095
"Wed-01-Apr-20,00:00:00",6405,9458,6145,8625,3407643525
"Fri-01-May-20,00:00:00",8625,10060,8153,9450,5208878175
"Mon-01-Jun-20,00:00:00",9450,10352,8840,9136,2259192914
"Wed-01-Jul-20,00:00:00",9136,11444,8910,11339,2711178885
"Sat-01-Aug-20,00:00:00",11339,12500,10530,11661,3896601672
"Tue-01-Sep-20,00:00:00",11661,12066,9834,10759,2172223643
"Thu-01-Oct-20,00:00:00",10759,14120,10392,13782,2790903095
"Sun-01-Nov-20,00:00:00",13782,19930,13207,19712,10157534800
"Tue-01-Dec-20,00:00:00",19712,29018,17567,28922,13052133894
"Fri-01-Jan-21,00:00:00",28922,42100,27923,33128,31158678664
"Mon-01-Feb-21,00:00:00",33128,58399,32344,45156,26628837548
"Mon-01-Mar-21,00:00:00",45156,61940,44983,58860,33627343404
"Thu-01-Apr-21,00:00:00",58860,64944,47019,57678,32095476282
"Sat-01-May-21,00:00:00",57678,59586,28801,37241,73798963759
"Tue-01-Jun-21,00:00:00",37241,41300,28774,35018,91126494763
"Thu-01-Jul-21,00:00:00",35018,42422,29272,41446,78273102622
"Sun-01-Aug-21,00:00:00",41446,50490,37281,47180,79565952766
"Wed-01-Sep-21,00:00:00",47180,52858,39520,43758,81107566042
"Fri-01-Oct-21,00:00:00",43758,67210,43273,61338,62008700334
"Mon-01-Nov-21,00:00:00",61338,69138,53122,56962,63423803066
"Wed-01-Dec-21,00:00:00",56962,59073,40829,46200,76921381638
"Sat-01-Jan-22,00:00:00",46200,48000,32906,38440,101091521360
"Tue-01-Feb-22,00:00:00",38440,45924,34242,43150,89608286530
"Tue-01-Mar-22,00:00:00",43150,48185,37139,45511,111439921189
"Fri-01-Apr-22,00:00:00",45511,47493,37558,37612,115236317493
"Sun-01-May-22,00:00:00",37612,40058,26536,31781,171852393239
"Wed-01-Jun-22,00:00:00",31781,31982,17600,19926,218299156172
"Fri-01-Jul-22,00:00:00",19926,24695,18777,23290,129611493128
"Mon-01-Aug-22,00:00:00",23290,25199,19511,20050,115331920210
"Thu-01-Sep-22,00:00:00",20050,22794,18100,19410,127037061290
"Sat-01-Oct-22,00:00:00",19410,21100,18071,20480,91649030560
"Tue-01-Nov-22,00:00:00",20480,21470,15440,17146,107057523974
"Thu-01-Dec-22,00:00:00",17146,18379,16203,16550,47817485528
"Sun-01-Jan-23,00:00:00",16550,23966,16511,23130,73020728370
"Wed-01-Feb-23,00:00:00",23130,25296,21328,23130,97990453170
"Wed-01-Mar-23,00:00:00",23130,29197,19535,28452,153818010438
"Sat-01-Apr-23,00:00:00",28452,31062,26933,29217,125371318815
"Mon-01-May-23,00:00:00",29217,29833,25764,27199,111065914856
"Thu-01-Jun-23,00:00:00",27199,31444,24780,30466,113172234236
"Sat-01-Jul-23,00:00:00",30466,31844,28851,29224,80583515688
"Tue-01-Aug-23,00:00:00",29224,30266,24201,25924,96935368372
"Fri-01-Sep-23,00:00:00",25924,27485,24853,26954,74084621058
"Sun-01-Oct-23,00:00:00",26954,36744,26523,34667,111813809567
"Wed-01-Nov-23,00:00:00",34667,38600,34058,37727,137032858551
"Fri-01-Dec-23,00:00:00",37727,44777,37613,42325,147404024823
"Mon-01-Jan-24,00:00:00",42325,49054,38532,42553,194642178172
"Thu-01-Feb-24,00:00:00",42553,64497,41844,61184,165274684438
"Fri-01-Mar-24,00:00:00",61184,73949,59111,71378,297203900718
"Mon-01-Apr-24,00:00:00",71378,72854,59132,60656,288790330884
"Wed-01-May-24,00:00:00",60656,72062,56505,67556,186367433436
"Sat-01-Jun-24,00:00:00",67556,72169,58320,62750,164697276778
"Mon-01-Jul-24,00:00:00",62750,70137,53314,64616,238484259634
"Thu-01-Aug-24,00:00:00",64616,65634,48914,58944,296205694344
"Sun-01-Sep-24,00:00:00",58944,60624,52500,58917,118787367579
