date,time,open,high,low,close,volume
"Mon-23-Mar-20,00:00:00",6500,6838,5858,5873,139211127
"Mon-30-Mar-20,00:00:00",5873,7230,5842,6771,670278719
"Mon-06-Apr-20,00:00:00",6771,7458,6742,6901,755751806
"Mon-13-Apr-20,00:00:00",6901,7289,6466,7118,789474183
"Mon-20-Apr-20,00:00:00",7118,7744,6750,7692,788652472
"Mon-27-Apr-20,00:00:00",7692,9458,7624,8895,1225349781
"Mon-04-May-20,00:00:00",8895,10060,8153,8725,2040646595
"Mon-11-May-20,00:00:00",8725,9940,8182,9675,1292625250
"Mon-18-May-20,00:00:00",9675,9958,8690,8710,987373415
"Mon-25-May-20,00:00:00",8710,9735,8640,9450,669841810
"Mon-01-Jun-20,00:00:00",9450,10352,9288,9741,671592309
"Mon-08-Jun-20,00:00:00",9741,9995,9100,9340,484196288
"Mon-15-Jun-20,00:00:00",9340,9584,8906,9295,450851185
"Mon-22-Jun-20,00:00:00",9295,9782,8840,9120,545932705
"Mon-29-Jun-20,00:00:00",9120,9289,8910,9074,390965326
"Mon-06-Jul-20,00:00:00",9074,9466,9063,9295,423601321
"Mon-13-Jul-20,00:00:00",9295,9336,9046,9203,372534397
"Mon-20-Jul-20,00:00:00",9203,10138,9134,9922,580082777
"Mon-27-Jul-20,00:00:00",9922,12114,9922,11073,1735971813
"Mon-03-Aug-20,00:00:00",11073,11916,10944,11686,769982588
"Mon-10-Aug-20,00:00:00",11686,12063,11144,11914,1234415324
"Mon-17-Aug-20,00:00:00",11914,12500,11391,11660,797499586
"Mon-24-Aug-20,00:00:00",11660,11826,11125,11710,443919470
"Mon-31-Aug-20,00:00:00",11710,12066,9834,10256,850451914
"Mon-07-Sep-20,00:00:00",10256,10572,9838,10320,371215856
"Mon-14-Sep-20,00:00:00",10320,11168,10250,10912,333118688
"Mon-21-Sep-20,00:00:00",10912,10977,10140,10770,397928046
"Mon-28-Sep-20,00:00:00",10770,10952,10392,10666,340127474
"Mon-05-Oct-20,00:00:00",10666,11490,10531,11374,403664728
"Mon-12-Oct-20,00:00:00",11374,11729,11200,11492,415617216
"Mon-19-Oct-20,00:00:00",11492,13360,11406,13024,887376232
"Mon-26-Oct-20,00:00:00",13024,14120,12769,13750,1280662218
"Mon-02-Nov-20,00:00:00",13750,15976,13207,15482,2036414518
"Mon-09-Nov-20,00:00:00",15482,16464,14825,15940,2093552992
"Mon-16-Nov-20,00:00:00",15940,18982,15866,18422,3531711738
"Mon-23-Nov-20,00:00:00",18422,19531,16202,18179,3731192123
"Mon-30-Nov-20,00:00:00",18179,19948,18090,19366,2821797730
